Reference,Value,LibPart,Footprint,Qty,Digikey,Farnell,Mouser
ANT1,2450AT18B100,skycan:2450AT18B100,,1,,1885497,
B1,2450BM14A0002T,skycan:2450BM14A0002T,,1,,2148533,
"C1, C10, C3, C4, C7, C9",100nF,device:C,0402,6,,,
"C11, C12, C19, C20, C22, C23, C24, C25, C26, C27, C29",47nF,device:C,0402,11,,,
C13,220nF,device:C,0402,1,,,
"C14, C15",18pF,device:C,0402,2,,,
C16,1nF,device:C,0402,1,,,
C17,22pF,device:C,0402,1,,,
C18,2.2nF,device:C,0402,1,,,
"C2, C30, C31",10nF,device:C,0402,3,,,
C21,1.2pF,device:C,0402,1,,,
C28,1.8nF,device:C,0402,1,,,
C32,56pF,device:C,0402,1,,,
C33,100pF,device:C,0402,1,,,
C34,39pF,device:C,0402,1,,,
"C35, C36, C38",5.1pF,device:C,0402,3,,,
C37,2.2pF,device:C,0402,1,,,
C39,6.2pF,device:C,0402,1,,,
C40,NA,device:C,0402,1,,,
"C5, C6",12.5pF,device:C,0402,2,,,
C8,2.2uF,device:C,0805,1,,,
"J1, J3",DF9_25P_1V_PLUG,skycan:DF9_25P_1V_PLUG,,2,,1798379,
"J2, J4",DF9_25P_1V_SOCKET,skycan:DF9_25P_1V_SOCKET,,2,,1798380,
L1,2.7nH,device:INDUCTOR_SMALL,,1,,,
L10,22nH,device:INDUCTOR_SMALL,,1,,,
L2,3.3nH,device:INDUCTOR_SMALL,,1,,,
"L3, L4",56nH,device:INDUCTOR_SMALL,,2,,,
"L5, L6",27nH,device:INDUCTOR_SMALL,,2,,,
"L7, L8",15nH,device:INDUCTOR_SMALL,,2,,,
L9,43nH,device:INDUCTOR_SMALL,,1,,,
R1,22k,device:R,0402,1,,,
R2,56k,device:R,0402,1,,,
R3,18R,device:R,0402,1,,,
U1,TPS79930,skycan:TPS79930,,1,,1135402,
U2,NRF8001,skycan:NRF8001,,1,,,949-NRF8001-R2Q32-T
U3,CC112X,skycan:CC112X,,1,,,595-CC1120RHBT
U4,UFL,skycan:UFL,,1,,1688077,
X1,32.768 kHz,device:CRYSTAL,,1,,2101352,
X2,16 MHz,device:CRYSTAL,,1,,1841946,
X3,32 MHz TCXO,skycan:WT325TCXO,,1,WT325BI0032.000000CT-ND,,
